object_id,device_id,object_label,model,first_name,last_name,speed,device_time,platform_time,moving_status,connection_status,last_connect_formatted,battery_level,zone_label,group_label,department_label,fuel_level_%,odometer
3453408,10210058,Buick Enclave - DEF9012,telfmb003_fmc003,Paul,Mauz,0,2025-11-20 9:15:35,2025-11-20 9:15:38,stopped,idle,2025-11-20 9:15:35,13.4,Warehouse Bonn,Second group,,31,91.5
3442962,10210029,Honda Civic - DEF5678,telfmb003_fmc003,Klaus,Ward,0,2025-11-20 9:15:24,2025-11-20 9:15:27,stopped,idle,2025-11-20 9:15:24,14.2,,,Delivery,23,130.5
3442961,10315159,Toyota Camry - ABC1234,howen_herome4002,Ida,Shiffer,0,2025-11-20 9:15:16,2025-11-20 9:15:23,stopped,idle,2025-11-20 9:15:16,14.1,Berlin,Second group,,82,864.3
3453401,10210046,Jaguar XE - IJK1234,telfmb003_fmc003,Ida,Becker,0,2025-11-20 9:09:08,2025-11-20 9:09:09,parked,offline,2025-11-20 9:09:08,13.8,,Office Dresden,Drivers,61,161.3
3453400,10210044,Scania OmniLink - FGH7890,telfmb003_fmc003,Noah,Schäfer,0,2025-11-20 9:08:32,2025-11-20 9:08:49,parked,offline,2025-11-20 9:08:32,13.6,Airport,Office Berlin,Drivers,99,658.3
3442964,10210057,Chevrolet Silverado - JKL3456,telfmb003_fmc003,Lukas,Schneider,0,2025-11-20 9:01:24,2025-11-20 9:02:22,parked,offline,2025-11-20 9:01:24,13.4,Warehouse Bonn,Second group,Logistics,72,621.5
3453409,10210059,Acura MDX - GHI3456,telfmb003_fmc003,Paul,Klein,0,2025-11-20 8:59:30,2025-11-20 9:01:00,parked,offline,2025-11-20 8:59:30,14.2,Warehouse Bonn,,Drivers,45,50.5
3442963,10210045,Ford F150 - GHI9012,howen_herome4002,Alexander,Klip,0,2025-11-20 8:58:01,2025-11-20 8:58:02,parked,offline,2025-11-20 8:58:01,14.1,,,Logistics,76,253.6
3453397,10210041,Dodge Charger - WXY5678,howen_herome4002,Oskar,Schröder,0,2025-11-20 8:55:17,2025-11-20 8:56:25,parked,offline,2025-11-20 8:55:17,13.8,Warehouse Bonn,Office Berlin,Logistics,67,506.6
3453404,10210051,Mini Cooper - RST3456,telfmb003_fmc003,Hannes,Hoffmann,0,2025-11-20 8:55:03,2025-11-20 8:55:31,parked,offline,2025-11-20 8:55:03,13.6,,Office Bonn,Drivers,68,973.1
3453430,10210099,Li Auto ONE - RST7890,telfmb003_fmc003,Hannah,Zimmermann,0,2025-11-20 8:53:19,2025-11-20 8:55:18,parked,offline,2025-11-20 8:53:19,13.4,Izmir,Office Berlin,Sales,90,554.3
3453425,10210075,Rivian R1T - CDE7890,telfmb003_fmc003,Sophia,Becker,0,2025-11-20 8:48:36,2025-11-20 8:48:39,parked,offline,2025-11-20 8:48:36,14.2,Izmir,Office Bonn,Sales,74,911.4
3442966,10210055,BMW 3Series - MNO7890,telfmb003_fmc003,Johann,Friedrich,0,2025-11-18 17:53:49,2025-11-18 17:54:44,parked,offline,2025-11-18 17:53:49,14.1,Warehouse Bonn,Office Berlin,Delivery,18,323.6
3453386,10210020,MercedesBenz CClass - PQR1234,telfmb003_fmc003,Lukas,Becker,0,2025-11-20 9:15:35,2025-11-20 9:15:38,stopped,idle,2025-11-20 9:15:35,13.8,Warehouse Bonn,Office Dresden,Drivers,6,954.3
3453387,10210022,Audi A4 - STU5678,howen_herome3104_3004,Andy,Whisper,0,2025-11-20 9:15:24,2025-11-20 9:15:27,stopped,idle,2025-11-20 9:15:24,13.6,,,Delivery,100,477.5
